1323285772 1 0
1323286097 2 0
1323294585 3 0
1323296945 4 0
1323308075 5 0
1323308253 6 0
1323309254 7 0
1323309319 8 0
1323309456 9 0
1323351882 10 0
1323353744 11 0
1323354757 12 0
1323354981 13 0
1323899546 14 0
1324477763 15 0
1324478081 16 0
1324478171 17 0
1324487084 18 0
1324490237 19 0
1324568397 20 0
1324587939 21 0
1324589240 22 0
1325621413 23 0
1325621837 23 1
1325627385 24 1
1325627570 25 1
1325627654 26 1
1325683599 27 1
1325686546 28 1
1325689292 29 1
1325691163 30 1
1325691926 31 1
1325694647 32 1
1325694826 33 1
1325694900 34 1
1325697058 35 1
1325697373 36 1
1325704572 37 1
1325705929 38 1
1325706512 39 1
1325706683 40 1
1325708013 41 1
1325710206 42 1
1325710265 43 1
1325711275 44 1
1325711348 45 1
1325712665 46 1
1325778461 47 1
1325779443 48 1
1326131874 49 1
1326137743 50 1
1326143909 51 1
1326220113 52 1
1326299639 53 1
1326470939 54 1
1326488205 55 1
1326744864 56 1
1326818900 57 1
1326819420 58 1
1326995620 59 1
1326997507 60 1
